spotify_id,name,artists,album_name,duration_ms,album_release_date
1sUdq3kWa9dJXHu3eYOUll,"Spooky, Scary Skeletons - Undead Tombstone Remix",Andrew Gold,Halloween Howls: Fun & Scary Music (Deluxe Edition),125624,2019-10-18
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,Diet Pepsi,169697,2024-08-09
0wQy2OO7jKjm0OOmA7gv3f,Thriller - 2003 Edit,Michael Jackson,Number Ones,311440,1979-01-01
11BKm0j4eYoCPPpCONAVwA,Bloody Mary,Lady Gaga,Born This Way (Special Edition),244760,2011-01-01
2dCmGcEOQrMQhMMS8Vj7Ca,Super Freak,Rick James,Street Songs (Deluxe Edition),205466,1981-04-07
6TZTu1F0gnp8mtzvYZao41,The Addams Family,Andrew Gold,Halloween Howls: Fun & Scary Music,84560,1996-01-01
0pvZCv4JOS5WBu7JITYef6,I Hope You Find Your Way Home,"Tyler, The Creator",CHROMAKOPIA,269704,2024-10-28
2VOomzT6VavJOGBeySqaMc,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded,238626,2008-06-02
1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),261413,1977-09-16
5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,308120,1976-01-01
4rMNgxEwGWoPHIUcvB5BrB,It Will Rain,Bruno Mars,It Will Rain,257847,2011-09-27
3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,"Tyler, The Creator",BEST INTEREST,127921,2020-01-25
4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,One Direction,Midnight Memories (Deluxe),245493,2013-11-25
3uLb3akDowAYWp5QbbKN0w,Di Balik Pertanda,Kaleb J,OFF GUARD,216677,2024-10-16
0io16MKpbeDIdYzmGpQaES,Embrace It,Ndotz,Embrace It,104418,2024-08-23
3coRPMnFg2dJcPu5RMloa9,Whiplash,aespa,Whiplash - The 5th Mini Album,183226,2024-10-21
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,"Charli xcx, Billie Eilish",Brat and it’s completely different but also still brat,143330,2024-10-11
31TVho4kOuAeRmLYGIEuWn,TGIF,GloRilla,GLORIOUS,164571,2024-10-11
102YUQbYmwdBXS7jwamI90,Good Graces,Sabrina Carpenter,Short n' Sweet,185265,2024-08-23
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,192720,2023-09-22
3zmN19fLAcKeDaajrIdWLB,Terlalu Cinta,"Yovie Widianto, Lyodra",Terlalu Cinta,259040,2024-07-25
42wdz3j7gstgUuhoFLCXqd,PELIGROSA,FloyyMenor,EL COMIENZO,134930,2024-08-09
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",GOLDEN,183550,2023-11-03
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),210950,2024-05-16
5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,The Great American Bar Scene,233333,2024-07-04
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,Morgan Wallen,Lies Lies Lies,198068,2024-07-05
3OJDtCdYs8QJnui708tEU3,Soltera,Shakira,Soltera,214642,2024-09-25
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,One Thing At A Time,163854,2023-03-03
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,Up All Night,199986,2012-05-25
6PhRhocBXP4y7NpciGmzra,Después De La 1,"Cris Mj, FloyyMenor, LOUKI",MJ,177600,2024-09-12
3NLnwwAQbbFKcEcV8hDItk,Perfect,One Direction,Made In The A.M. (Deluxe Edition),230333,2015-11-13
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,What Happens Now?,171782,2024-02-16
